narrative,product_5
"XXXX XXXX XXXX XXXX XXXX XXXX, Maryland XXXX XX/XX/year> XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, SC XXXX To Whom It May Concern, I am writing to file a formal complaint against LVNV Funding LLC for XXXX violations of my consumer rights under federal regulations. LVNV Funding LLC has flagrantly disregarded the laws outlined in 12 CFR 1006.34 by failing to provide validation information regarding a collection account they have reported on my consumer report. Despite this blatant omission, LVNV Funding LLC has proceeded to report this collection account, thus infringing upon my rights under federal regulations. 
Furthermore, LVNV Funding LLC has deprived me of the opportunity to dispute the account in accordance with 12 CFR 1006.34 ( c ) ( 4 ) ( i ). This failure to provide the necessary avenues for dispute resolution is a clear violation of consumer protection regulations and demonstrates LVNV Funding LLC 's blatant disregard for fair and transparent practices. 
I assert that LVNV Funding LLC is engaging in deceitful and misleading practices by reporting this collection account without adhering to the requisite legal standards. This conduct not only violates my consumer rights but also undermines the integrity of the credit reporting system as a whole. 
In addition to disputing any ownership of the alleged debt to LVNV Funding LLC, I hereby revoke all rights of communication via phone, text, or email. Henceforth, all correspondence must be conducted through written communication sent to the address listed above. 
As per my rights under the law, I demand that LVNV Funding LLC provide validation of the debt, including the purchase agreement between LVNV Funding LLC and the original creditor. Furthermore, I request immediate proof of LVNV Funding LLC 's licensing and bonding, as mandated by law. 
Failure to comply with these demands within the legally mandated timeframes will result in immediate escalation of this matter to higher authorities. I expect a prompt and thorough response to this formal complaint, detailing the steps LVNV Funding LLC will take to rectify these egregious violations and provide restitution for the damages incurred. 
Sincerely, XXXX XXXX",Debt Collection
"On XX/XX/XXXX, I purchased the Vanilla Gift Card ending in XXXX with {$500.00} value, and it could not be used anywhere I tried, including XXXX, XXXX and gas station. 

I called Vanilla gift card services and requested a refund, the agent gave me a case number XXXX. 

Right after the call I sent in all 4 required documents - the front and back of the card, the purchasing receipt, a proof of address, and a document containing my e-signature and authorization to replace the card. 

I received an automated e-mail claiming the refund will be processed within 10 days.

It's been almost a month, after 3 calls and 4 repeated emails with 2 different e-mail addresses I have still not received any response ; every time I call the agent refuse to escalate this matter, and there are no updates to this case at all.",Credit Card Services
From XXXX XXXX transaction was made that wasn't me I was in incarcerated and these transactions were made without my consent,Credit Card Services
I was scammed by a romance scammer and he put my account in the negative and they kept my benefits check because of the negative balance. I requested my benefits check back but they didn't comply.,Bank Accounts and Services
I recently reviewed my credit report and noticed an account that was not reporting accurately. i had XXXX late payments on an account that i was in fact paid on time. The consumer reporting agencies need to report all information with complete accuracy. this account has not been late on payments i've attached a copy of my report to this complaint on the following dates ( XXXX XXXX ) I'm now requesting you investigate this account and update these payments to paid on time immediately. Thank you for your understanding and prompt action.,Credit Reporting
"My payments are always made promptly, of that I am certain. What puzzles me is the occasional late reporting from this company, which shouldn't be the case. Per USC 1666b, any billing error must be rectified promptly and updated to reflect payment as agreed.",Credit Card Services
XXXX XXXX XXXX XXXX has violated my rights. 15 u.s.c 1681 section 602 a states i have right to privacy. 15 u.s.c 1681 section 604 a section 2. it also states a consumer reporting agency can not furnish a account without my written instructions. Also reporting inaccurate information.,Credit Reporting
"I am writing to file a formal complaint regarding the inaccurate reporting of a late payment on my credit report by credit bureaus. The presence of this late payment inaccurately reflects my payment history, as I have consistently paid my bills on time. This discrepancy constitutes a billing error, violating my rights under the Fair Credit Billing Act, 15 USC 1666B. According to this law, consumers have the right to dispute and seek correction of billing errors, which include inaccuracies in payment reporting.",Credit Reporting
Wells Fargo has not responded at all to my emails to them,Bank Accounts and Services
"On XX/XX/XXXX I deposited a check for {$6700.00} into CitiBank. A check for rent from a tenant. 
I called the bank on XXXX and they said the funds will be available on the next business day. 
I called on XXXX and they said they will be available tomorrow. 
I called on XXXX they said they will be available on XX/XX/XXXX. 
I havent received any written communication to support this. 

On XX/XX/XXXX The branch manger told me to get proof the funds have cleared the tenants account. The tenant confirmed the balance has been taken out of the tenants account on XXXX. I emailed the branch manager and ccd the tenant. 

I will attach a copy of last months rent deposit and an older check from XXXX I deposited remotely and the email to the manager.",Bank Accounts and Services
"My mom passed away on XX/XX/XXXX. She had been paying her mortgage payments for 10 yrs. Her original loan has passed thru a few different lenders. One lender tried to illegally foreclose, I hired an attorney, showed them my proof of fraud, one appearance in court and lender was ordered to stop foreclosure and lower mortgage payment back to where it should be. That lender sold our loan to our current lender. We missed one payment, after that I immediately made arrangements to give lender access to deduct all future mortgage payments from our bank account on the XXXX XXXX of each month. Over the next few months I also gave the lender an extra {$400.00} or {$500.00} each month until the missed payment had been paid in full and our loan was current. It was during that time that the lender said we had to fill out papers for a "" loan modification '' if we wanted to keep the lower "" interest rate ''. I didn't understand and tried to ask questions, but everyone I talked to made it more confusing with all their "" legal '' mortgage mumbo jumbo saying it was in our best interest to do the loan modification, so we did it. That was in XXXX, now I am having to sell my mom 's home only to find out that besides the balance of the original loan we have to pay a "" 2nd mortgage lien '' in the amount of {$63000.00}. All I can find out is that someone got HUD involved and they gave our lender {$63000.00} towards our loan. Everyone I call about this tells me I have to call this office or that office, I can't get any straight answers. My mom 's original loan amount was for {$240000.00}, her payments have gone up and down and up again over the years but most of her payments were {$1600.00} a month for the last 10 years. House is going thru escrow now, lender gave our payoff amount as {$180000.00} but the Title company said that 2nd lien of {$63000.00} also has to be paid before escrow can close. Do the math, {$180000.00} + {$63000.00} = {$250000.00} which is {$9000.00} more than the original loan amount. So basically, my mom paid {$1600.00} a month for 10 years and now she owes MORE than she borrowed. What did they do with all the money she paid them? I've got a stack of documents from different lenders, I have 3 or 4 different "" DEEDS '' with different names on them, I've got papers showing one lender committing fraud to illegally foreclose, I've got court transcrips. What I don't have is someone honest to help me. I can't handle this by myself, can you help me? Believe it or not, this was a very brief summary of what has been going on, I could talk your ears off for a couple of hours if you want more detail. I won't have any money to pay you until escrow closes and I see what, ( if anything ) I am left with. I don't think I should have to pay {$63000.00}. I didn't ask HUD to get involved, I never received any money from anyone, so how could this money be added to my mom 's loan for no reason?",Loans
